TransactionID,CustomerID,ProductID,Timestamp,Quantity,UnitPrice,TotalPrice,PaymentMethod,Discount,Tax,OrderStatus
1,69,P0131,2023-03-23,3,436.29,1308.87,PayPal,0.0,104.71,Completed
2,396,P0445,2024-01-19,1,92.97,92.97,PayPal,0.05,7.44,Completed
3,86,P0289,2023-11-23,1,1962.01,1962.01,Cash,0.0,156.96,Completed
4,423,P0598,2024-11-11,1,1109.9,1109.9,Debit Card,0.0,88.79,Completed
5,2,P0022,2024-05-31,4,471.38,1885.51,Cash,0.0,150.84,Completed
6,167,P0086,2024-09-28,4,171.43,685.73,Cash,0.0,54.86,Completed
7,192,P0243,2024-09-02,3,1019.65,3058.95,Credit Card,0.0,244.72,Completed
8,68,P0878,2024-01-18,4,1062.8,4251.21,Credit Card,0.0,340.1,Completed
9,92,P0782,2024-09-19,3,1895.94,5687.83,Cash,0.0,455.03,Completed
10,66,P0921,2024-03-22,4,954.67,3818.66,Credit Card,0.15,305.49,Completed
11,262,P0679,2023-08-15,4,930.81,3723.24,PayPal,0.0,297.86,Completed
12,267,P0504,2023-11-03,4,1070.49,4281.97,Cash,0.0,342.56,Completed
13,85,P0072,2024-04-29,3,1303.22,3909.65,Debit Card,0.0,312.77,Completed
14,316,P0468,2024-07-07,2,1596.86,3193.72,PayPal,0.0,255.5,Completed
15,114,P0875,2023-10-10,4,1038.75,4155.0,PayPal,0.0,332.4,Completed
16,416,P0892,2024-09-04,4,346.6,1386.41,Debit Card,0.0,110.91,Failed
17,137,P0524,2024-06-27,3,1035.15,3105.46,PayPal,0.2,248.44,Completed
18,158,P0269,2024-06-16,2,373.61,747.22,PayPal,0.1,59.78,Completed
19,283,P0837,2024-10-01,1,231.41,231.41,Cash,0.0,18.51,Completed
20,133,P0227,2024-01-17,1,706.84,706.84,Debit Card,0.0,56.55,Completed
21,60,P0940,2023-07-30,1,968.78,968.78,Cash,0.1,77.5,Completed
22,226,P0982,2024-12-28,3,1765.65,5296.96,Cash,0.0,423.76,Completed
23,190,P0417,2023-08-06,1,869.23,869.23,PayPal,0.15,69.54,Completed
24,75,P0953,2023-11-10,3,1260.81,3782.43,Credit Card,0.0,302.59,Completed
25,212,P0893,2023-10-16,4,257.37,1029.48,Cash,0.0,82.36,Completed
26,201,P0660,2024-03-29,4,1983.9,7935.59,Cash,0.0,634.85,Completed
27,442,P0921,2024-05-30,3,645.36,1936.07,PayPal,0.0,154.89,Completed
28,142,P0996,2023-10-29,4,503.89,2015.55,Cash,0.1,161.24,Completed
29,115,P0737,2023-07-29,2,1357.93,2715.86,PayPal,0.0,217.27,Completed
30,38,P0142,2024-07-11,4,794.14,3176.57,PayPal,0.0,254.13,Failed
31,84,P0881,2024-05-21,1,871.82,871.82,Debit Card,0.0,69.75,Completed
32,110,P0947,2023-03-24,3,1520.23,4560.68,Cash,0.1,364.85,Failed
33,63,P0073,2024-12-18,3,1275.06,3825.19,PayPal,0.0,306.02,Completed
34,120,P0934,2024-02-02,1,1104.36,1104.36,Debit Card,0.0,88.35,Completed
35,376,P0820,2024-11-03,1,1657.84,1657.84,Credit Card,0.0,132.63,Completed
36,41,P0708,2023-08-10,3,1810.65,5431.94,Credit Card,0.1,434.55,Completed
37,425,P0632,2024-08-20,3,1271.04,3813.13,Debit Card,0.0,305.05,Completed
38,268,P0035,2024-10-31,3,1991.1,5973.31,PayPal,0.1,477.86,Completed
39,276,P0869,2023-10-31,3,1002.33,3006.99,Credit Card,0.05,240.56,Pending
40,35,P0977,2023-11-20,2,1764.01,3528.02,Credit Card,0.0,282.24,Completed
41,332,P0438,2024-02-28,4,955.64,3822.58,PayPal,0.0,305.81,Completed
42,406,P0232,2024-08-27,1,1281.05,1281.05,Credit Card,0.0,102.48,Completed
43,348,P0540,2024-03-30,4,799.8,3199.19,Debit Card,0.0,255.94,Completed
44,347,P0951,2023-06-11,1,1037.22,1037.22,Debit Card,0.05,82.98,Completed
45,401,P0573,2024-12-22,4,1227.94,4911.76,PayPal,0.15,392.94,Completed
46,441,P0093,2024-03-24,1,989.98,989.98,PayPal,0.0,79.2,Completed
47,141,P0701,2024-11-19,2,1715.57,3431.13,Cash,0.0,274.49,Completed
48,295,P0341,2024-08-24,1,1165.49,1165.49,PayPal,0.0,93.24,Completed
49,265,P0344,2023-08-21,1,604.9,604.9,Credit Card,0.1,48.39,Completed
50,41,P0551,2023-07-02,1,1367.07,1367.07,PayPal,0.0,109.37,Completed
51,45,P0001,2024-07-11,4,872.56,3490.26,Cash,0.0,279.22,Completed
52,268,P0445,2023-04-19,4,628.62,2514.48,Cash,0.05,201.16,Completed
53,153,P0859,2024-06-03,2,149.71,299.43,PayPal,0.0,23.95,Completed
54,450,P0324,2024-10-19,2,1610.69,3221.38,Credit Card,0.05,257.71,Completed
55,424,P0084,2024-02-16,1,188.46,188.46,PayPal,0.0,15.08,Completed
56,202,P0450,2023-04-15,3,1207.64,3622.92,Debit Card,0.0,289.83,Completed
57,377,P0551,2024-12-13,4,385.1,1540.42,Credit Card,0.05,123.23,Pending
58,387,P0912,2024-11-08,2,327.17,654.33,Debit Card,0.0,52.35,Completed
59,321,P0311,2023-08-23,1,828.77,828.77,Debit Card,0.15,66.3,Completed
60,409,P0279,2023-08-11,4,1321.97,5287.87,Debit Card,0.1,423.03,Completed
61,99,P0429,2024-02-24,3,1107.94,3323.83,Debit Card,0.1,265.91,Completed
62,195,P0156,2024-03-26,4,1837.44,7349.75,Cash,0.0,587.98,Completed
63,313,P0118,2024-11-02,4,816.3,3265.2,Debit Card,0.0,261.22,Completed
64,196,P0421,2023-01-07,4,1535.72,6142.87,PayPal,0.15,491.43,Completed
65,402,P0988,2024-03-19,3,714.18,2142.53,Debit Card,0.0,171.4,Completed
66,325,P0392,2024-07-29,2,1691.36,3382.72,Debit Card,0.0,270.62,Completed
67,113,P0877,2024-01-23,2,996.9,1993.8,PayPal,0.0,159.5,Completed
68,260,P0666,2024-07-10,3,457.28,1371.85,PayPal,0.15,109.75,Completed
